,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
2,2,39.0,4.71,87,4.58,4.71,2.0,1469.0,3,90%,True,Entire rental unit,within an hour
4,4,64.0,4.7,357,4.98,4.48,1.5,1062.7,5,86%,True,Entire home,within an hour
6,6,84.0,4.88,144,4.75,4.79,1.0,650.0,7,95%,True,Entire condo,within an hour
7,7,62.0,4.9,168,4.94,4.87,1.0,1089.0,8,100%,True,Private room in home,within an hour
8,8,18.0,4.75,156,4.88,4.81,1.0,943.0,9,100%,True,Entire condo,within an hour
10,10,20.2,4.96,153,4.95,4.91,1.0,1881.0,11,98%,True,Entire rental unit,within an hour
12,12,20.2,4.69,358,4.62,4.61,1.0,402.0,13,100%,True,Entire loft,within an hour
14,14,23.0,4.83,340,4.83,4.78,1.0,1006.0,15,87%,True,Room in serviced apartment,within an hour
15,15,7.0,4.8,350,4.9,4.8,1.0,998.0,16,87%,True,Entire serviced apartment,within an hour
19,19,10.0,5.0,317,4.89,4.78,1.5,1062.7,20,99%,True,Entire loft,within an hour
20,20,80.0,4.84,303,4.89,4.68,1.0,1200.0,21,99%,True,Entire rental unit,within an hour
24,24,4.0,5.0,336,5.0,5.0,1.5,549.0,25,100%,True,Private room in home,within an hour
26,26,20.2,4.92,88,4.87,4.95,3.0,2049.0,27,95%,True,Entire rental unit,within an hour
27,27,20.2,4.86,194,4.71,4.91,1.5,1062.7,28,100%,True,Entire home,within an hour
29,29,90.0,4.59,354,4.98,4.78,1.0,302.0,30,77%,True,Private room in rental unit,within an hour
31,31,38.0,4.63,153,4.97,4.76,1.0,1050.0,32,100%,True,Entire rental unit,within an hour
34,34,54.0,4.47,356,4.9,4.8,1.0,1310.0,35,100%,True,Entire loft,within an hour
35,35,44.0,4.68,155,4.89,4.7,1.5,1037.0,36,100%,True,Entire loft,within an hour
36,36,20.0,4.8,197,4.85,4.8,1.0,794.0,37,100%,True,Entire serviced apartment,within an hour
42,42,26.0,4.84,365,4.96,4.88,1.0,817.0,43,100%,True,Entire rental unit,within an hour
47,47,42.0,4.86,155,4.95,4.9,1.0,788.0,48,97%,True,Entire rental unit,within an hour
48,48,4.0,4.8,362,4.9,4.8,2.5,1062.7,49,94%,True,Entire home,within an hour
49,49,20.2,4.85,361,4.88,4.81,1.0,1017.0,50,98%,True,Entire rental unit,within an hour
