"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price"
"1","N/A",FALSE,"Entire loft","within a day",21,4.95,324,5,4.86,1.5,1434
"2","N/A",TRUE,"Entire guest suite","N/A",61,4.88,346,4.95,4.84,1,830
"3","90%",TRUE,"Entire rental unit","within an hour",39,4.71,87,4.58,4.71,2,1469
"4","N/A",TRUE,"Entire villa","N/A",0,4.75,363,4.83,4.71,1,3658
"5","86%",TRUE,"Entire home","within an hour",64,4.7,357,4.98,4.48,5.5,18000
"6","70%",TRUE,"Entire loft","within a few hours",78,4.71,240,5,4.83,2,2561
"7","95%",TRUE,"Entire condo","within an hour",84,4.88,144,4.75,4.79,1,650
"8","100%",TRUE,"Private room in home","within an hour",62,4.9,168,4.94,4.87,1,1089
"9","100%",TRUE,"Entire condo","within an hour",18,4.75,156,4.88,4.81,1,943
"10","58%",TRUE,"Entire home","within a few hours",120,4.69,270,4.34,4.75,5.5,2561
"11","98%",TRUE,"Entire rental unit","within an hour",272,4.96,153,4.95,4.91,1,1881
"12","73%",TRUE,"Entire rental unit","within a day",47,4.73,362,4.98,4.91,1,2088
"13","100%",TRUE,"Entire loft","within an hour",585,4.69,358,4.62,4.61,1,402
"14","100%",TRUE,"Entire rental unit","within a day",114,4.95,145,4.96,4.92,1,1097
"15","87%",TRUE,"Room in serviced apartment","within an hour",23,4.83,340,4.83,4.78,1,1006
"16","87%",TRUE,"Entire serviced apartment","within an hour",7,4.29,350,4.43,4.29,1,998
"17","0%",TRUE,"Private room in rental unit","N/A",5,4.2,363,4.8,4.6,1.5,726
"18","N/A",TRUE,"Private room in home","a few days or more",5,4.6,284,4.4,4.4,1.5,375
"19","0%",TRUE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,2835
"20","99%",TRUE,"Entire loft","within an hour",10,5,317,4.89,4.78,1.5,3413
"21","99%",TRUE,"Entire rental unit","within an hour",80,4.84,303,4.89,4.68,1,1200
"22","N/A",FALSE,"Private room","within a few hours",0,4.75,88,4.83,4.71,1,1244
"23","40%",TRUE,"Tiny home","within a few hours",12,4.91,280,5,4.82,1,817
